palabra,word,frase,sentence,palabra_alterna,,
me,I,Me gusta mucho la comida mexicana.,I really like Mexican food.,,,
me,I,Me siento cansado después de trabajar todo el día.,I feel tired after working all day.,,,
me,me,"¿Me puedes prestar un bolígrafo, por favor?","Can you lend me a pen, please?",,,
me,I,Me voy a duchar antes de ir a dormir.,I'm going to take a shower before going to bed.,,,
me,I,"Me duele la cabeza, creo que necesito tomar un analgésico.","I have a headache, I think I need to take a painkiller.",,,
te,you,¿Te gustaría ir al cine esta noche?,Would you like to go to the cinema tonight?,,,
te,you,Te dije que no comieras tantos dulces antes de dormir.,I told you not to eat so many sweets before sleeping.,,,
te,you,¿Me puedes dar tu opinión sobre este tema? Te escucharé con atención.,Can you give me your opinion on this topic? I will listen to you carefully.,,,
te,you,Te estás peinando el cabello muy bien.,You are combing your hair very well.,,,
te,you,¿Te acuerdas de aquel viaje que hicimos juntos el verano pasado?,Do you remember that trip we took together last summer?,,,
se,no direct translation,Se acerca la fecha límite del proyecto.,The project deadline is approaching.,,,
se,no direct translation,Se dice que el nuevo restaurante es muy bueno.,They say the new restaurant is very good.,,,
se,no direct translation,No se puede entrar en la casa sin llave.,You can't enter the house without a key.,,,
se,no direct translation,Se fueron de viaje sin avisar.,They went on a trip without notice.,,,
se,no direct translation,¿Se te ofrece algo más?,Is there anything else you need?,,,
le,no direct translation,Le dije la verdad.,I told him/her the truth.,,,
le,no direct translation,El médico le recetó unas pastillas.,The doctor prescribed some pills to him/her.,,,
le,no direct translation,Le compré un regalo a mi mamá.,I bought a gift for my mom.,,,
le,no direct translation,Le presté mi coche a mi hermano.,I lent my car to my brother.,,,
le,no direct translation,¿Le gustaría tomar un café?,Would you like to have a coffee?,,,
lo,no direct translation,Lo siento mucho.,I'm very sorry.,,,
lo,no direct translation,¿Lo necesitas para hoy?,Do you need it for today?,,,
lo,no direct translation,Lo hice lo mejor que pude.,I did it as best I could.,,,
lo,no direct translation,¿Lo viste en la televisión?,Did you see it on TV?,,,
lo,no direct translation,Lo encontré en la calle.,I found it on the street.,,,
nos,we,Nos encanta ir al cine juntos.,We love going to the movies together.,,,
nos,us,¿Nos prestas tu coche para el fin de semana?,Can you lend us your car for the weekend?,,,
nos,we,Siempre nos divertimos en la fiesta de María.,We always have fun at Maria's party.,,,
nos,we,Queremos que nos ayudes a preparar la cena.,We want you to help us prepare dinner.,,,
nos,we,Nos preocupa que no llegues a tiempo.,We are worried that you won't arrive on time.,,,
os,you,Os esperamos en el parque a las cuatro.,We'll meet you at the park at four.,,,
os,you,¿Os gustaría probar un trozo de pastel?,Would you like to try a piece of cake?,,,
os,you,"No os preocupéis, todo estará bien.","Don't worry, everything will be fine.",,,
os,you,¿Podéis traerme los papeles que os di ayer?,Can you bring me the papers I gave you yesterday?,,,
os,you,Os habéis portado muy bien durante el viaje.,You behaved very well during the trip.,,,
