palabra,word,frase,sentence,palabra_alterna,,
ir,to go,Me gusta ir al parque los fines de semana.,I like to go to the park on weekends.,,,
ir,to go,¿Puedes ir al supermercado y comprar leche?,Can you go to the supermarket and buy some milk?,,,
ir,to go,¿A dónde vas a ir de vacaciones este año?,Where are you going on vacation this year?,,,
ir,to go,Siempre me gusta ir al mismo restaurante porque tienen comida deliciosa.,I always like to go to the same restaurant because they have delicious food.,,,
ir,to go,No puedo ir al concierto mañana porque tengo que trabajar.,I can't go to the concert tomorrow because I have to work.,,,
ir,to go,Quiero ir al gimnasio más seguido para mejorar mi salud.,I want to go to the gym more often to improve my health.,,,
ir,to go,Me encanta ir de compras con mis amigas los sábados.,I love to go shopping with my friends on Saturdays.,,,
ir,to go,Mis padres van a ir de viaje el próximo mes.,My parents are going on a trip next month.,,,
ir,to go,"No te preocupes, yo puedo ir al correo a enviar la carta por ti.","Don't worry, I can go to the post office to send the letter for you.",,,
voy,I am going,Hoy voy a la playa con mis amigos para disfrutar del sol y el mar.,Today I'm going to the beach with my friends to enjoy the sun and the sea.,,,
voy,I am going,Mañana voy al supermercado para hacer las compras de la semana.,Tomorrow I'm going to the supermarket to do the weekly shopping.,,,
voy,I am going,Esta tarde voy al cine a ver la nueva película de terror que tanto he esperado.,This afternoon I'm going to the cinema to watch the new horror movie I've been waiting for.,,,
voy,I am going,"En mi próximo viaje, voy a visitar París para conocer la Torre Eiffel y otros sitios turísticos de la ciudad.","On my next trip, I'm going to visit Paris to see the Eiffel Tower and other tourist sites in the city.",,,
voy,I am going,Yo voy a caminar por el parque para hacer ejercicio.,I am going to walk in the park to exercise.,,,
voy,I am going,"El próximo mes, yo voy a visitar a mi familia en mi país natal.","Next month, I am going to visit my family in my home country.",,,
voy,I am going,Siempre llevo una botella de agua conmigo cuando yo voy al gimnasio.,I always bring a water bottle with me when I go to the gym.,,,
voy,I am going,Yo voy a estudiar mucho este fin de semana para mi examen de matemáticas.,I am going to study a lot this weekend for my math exam.,,,
voy,I am going,"Si tengo suficiente dinero, yo voy a comprar un nuevo teléfono celular.","If I have enough money, I am going to buy a new cell phone.",,,
voy,I am going,"Cuando terminemos de comer, yo voy a lavar los platos.","When we finish eating, I am going to wash the dishes.",,,
vas,(you go),¿Vas a la fiesta esta noche?,Are you going to the party tonight?,,,
vas,(you go),"Si vas al supermercado, por favor trae leche y pan.","If you go to the supermarket, please bring milk and bread.",,,
