palabra,word,frase,sentence,palabra_alterna,,
son,are,Ellos son parte del grupo de cantantes.,They are part of the singing group.,,,
soy,am,Yo soy un americano.,I am an American.,,,
ella es,is,Ella es colombiana.,She is Colombian.,,,
él es,is,Él es italiano.,He is Italian.,,,
somos,are,Nosotros somos los primeros en llegar.,We are the first to arrive.,,,
somos,are,Alex y yo somos amigos de la escuela.,Alex and I are friends from school.,,,
es,is,¿Quien es la nueva profesora de literatura?,Who is the new literature professor?,,,
ser,to be,Hoy va a ser un gran día.,Today is going to be a great day.,estar,,
ser,to be,Yo voy a ser un gran profesional.,I am going to be a great professional.,,,
es,is,Aprender español es lo que mas deseo,To learn Spanish is what I want the most.,,,
es,is,Él es uno de mis amigos.,He is one of my friends.,,,
es,is,¿Qué es lo que te gusta?,What do you like? (What is it that you like?),,,
es,is,¿Qué es lo que harías si estas perdido?,What would you do if you are lost? (What is it that you do if you are lost?),,,
es,is,La verdad es que sé que estás mintiendo.,The truth is that I know you are lying.,,,
nosotros somos,we are,Nosotros somos capaces de superarnos cada día.,We are capable of improving ourselves every day.,somos,,
nosotros somos,we are,Nosotros somos los que encontramos el tesoro.,We are the ones who find the treasure.,somos,,
nosotros somos,we are,Nosotros somos leones o huevones.,We are lions or stupid.,somos,,
nosotros somos,we are,Nosotros somos lo que somos,We are what we are.,somos,,
vosotros sois,you are,Vosotros sois amigos de mis padres.,You are friends of my father.,sois,,
es,is,¿Cuándo es tu cumpleaños?,When is your birthday?,,,
nosotros no somos,we are not,Nosotros no somos los guitarristas de este grupo.,We are not the guitarists of this group.,,,
sois,you are,Hoy sois hombres, y los hombres trabajan antes de comer.,Today you are men, and men work before eating.,vosotros sois
son,are,Lo más terrorífico fue darse cuenta de que no son monstruos.,The most terrifying thing was realizing that they are not monsters.,,,
son,no direct translation,Ellos son muy divertidos de estar con ellos.,They are very fun to be with.,,,
son,no direct translation,Ellos son muy inteligentes y siempre tienen algo interesante que decir.,They are very intelligent and always have something interesting to say.,,,
son,no direct translation,Ellos son muy amables y siempre están dispuestos a ayudar.,They are very friendly and always willing to help.,,,
son,no direct translation,Ellos son muy trabajadores y siempre están buscando mejorar sus habilidades.,They are very hardworking and always looking to improve their skills.,,,
son,no direct translation,Son las tres y media.,It’s half past three.,,,
son,no direct translation,Tres y dos son cinco.,Three and two are five.,,,
son,no direct translation,¿Cuánto es? – Son veinte euros.,How much is it? It’s twenty euros.,,,
son,no direct translation,Son elaborados en España.,They are made in Spain.,,,
son,no direct translation,Ellas son líderes naturales y tienen un gran talento para la motivación.,They are natural leaders and have a great talent for motivation.,,,
son,no direct translation,Ellas son muy hermosas tanto por dentro como por fuera.,They are very beautiful both inside and out.,,,
son,no direct translation,Ellas son muy creativas y siempre tienen ideas innovadoras.,They are very creative and always have innovative ideas.,,,
son,no direct translation,Ellas son muy fuertes y nunca se rinden fácilmente en la cara de un desafío.,They are very strong and never give up easily in the face of a challenge.,,,
soy,no direct translation,Soy una persona que siempre busca aprender algo nuevo.,I am a person who always seeks to learn something new.,,,
soy,no direct translation,Soy una chica creativa.,I am a creative girl.,,,
soy,no direct translation,Yo soy un programa de computadora diseñado para responder preguntas y proporcionar información.,I am a computer program designed to answer questions and provide information.,,,
soy,no direct translation,Soy el dueño de mi propio destino.,I am the master of my own destiny.,,,
soy,no direct translation,Soy una persona responsable y comprometida con mis metas.,I am a responsible person and committed to my goals.,,,
soy,no direct translation,Soy el dueño de mi futuro.,I am the master of my own destiny.,,,
soy,no direct translation,Soy el encargado de este proyecto.,I am the manager of this project.,,,
