palabra,word,frase,sentence,palabra_alterna
dos,two,Dos manzanas al día mantienen al médico lejos.,Two apples a day keep the doctor away.,
dos,two,Dos cabezas piensan mejor que una.,Two heads are better than one.,
dos,two,Dos minutos más tarde de lo previsto.,Two minutes later than planned.,
dos,two,El dos de febrero es un día importante.,February 2nd is an important day.,
dos,two,Dos por dos son cuatro.,Two times two is four.,
dos,two,Dos puertas más allá.,Two doors down.,
dos,two,Dos líneas paralelas nunca se cruzan.,Two parallel lines never intersect.,
dos,two,Dos tazas de café al día son suficientes.,Two cups of coffee a day are enough.,
dos,two,La suma de dos y dos es igual a cuatro.,Two plus two equals four.,
dos,two,Dos ojos son mejores que uno.,Two eyes are better than one.,
dos,two,Dos a la derecha y dos a la izquierda.,Two to the right and two to the left.,
dos,two,Dos es mejor que nada.,Two is better than nothing.,
también,also,También puedes hacerlo tú.,You can also do it.,
también,too,Yo también lo hice.,I did it too.,
también,also,Él también está aquí.,He's also here.,
también,also,Esta opción también es viable.,This option is also viable.,
también,also,Ella también es una experta en el tema.,She's also an expert on the subject.,
también,too,"No solo él, también ella.","Not just him, but her too.",
también,also,También puedes encontrarlo en la tienda.,You can also find it in the store.,
también,also,"No es solo un problema tuyo, es también el mío.","It's not just your problem, it's also mine.",
también,also,También puedes verlo en la televisión.,You can also see it on television.,
también,also,Ellos también están de acuerdo.,They also agree.,
también,also,También es importante ser amable.,It's also important to be kind.,
también,also,Por qué no también lo hacemos juntos.,Why don't we also do it together.,
fue,was,Fue un día memorable.,It was a memorable day.,
fue,no direct translation,Eso fue lo que dijo.,That's what he said.,
fue,was,La razón fue evidente.,The reason was obvious.,
fue,was,Él fue el primero en llegar.,He was the first one to arrive.,
fue,was,Fue un éxito rotundo.,It was a complete success.,
fue,was,La decisión fue difícil de tomar.,The decision was difficult to make.,
fue,was,Fue un placer conocerte.,It was a pleasure to meet you.,
fue,was,Todo fue según lo planeado.,Everything went according to plan.,
fue,was,Aquella noche fue inolvidable.,That night was unforgettable.,
fue,was,La solución fue sencilla.,The solution was simple.,
fue,was,Fue una sorpresa para todos.,It was a surprise for everyone.,
