palabra,word,frase,sentence,palabra_alterna,,
la reunión,meeting,La reunión de hoy se canceló debido a un problema técnico.,Today's meeting was canceled due to a technical issue.,,,
las ventas,sales,El jefe de la empresa quiere aumentar las ventas el próximo trimestre.,The company's CEO wants to increase sales next quarter.,,,
la oficina,office,La oficina tiene un ambiente muy agradable y colaborativo.,The office has a very pleasant and collaborative environment.,,,
estos documentos,documents,Necesito imprimir estos documentos para la presentación de mañana.,I need to print these documents for tomorrow's presentation.,,,
nuevo producto,product,La empresa ha lanzado un nuevo producto al mercado con gran éxito.,The company has successfully launched a new product in the market.,,,
el correo electrónico,email,El correo electrónico es una herramienta fundamental para la comunicación en el trabajo.,Email is a fundamental tool for communication at work.,,,
la competencia,competition,La competencia entre empresas del mismo rubro es cada vez más intensa.,Competition between companies in the same industry is becoming increasingly intense.,,,
la empresa,company,La empresa está comprometida con el desarrollo sostenible y la responsabilidad social.,The company is committed to sustainable development and social responsibility.,,,
el servicio,service,El cliente está insatisfecho con el servicio que recibió y ha presentado una queja.,The customer is dissatisfied with the service they received and has filed a complaint.,,,
finanzas,finance,El departamento de finanzas es el encargado de administrar el presupuesto de la empresa.,The finance department is responsible for managing the company's budget.,,,
ganancias,profits,La empresa ha logrado aumentar sus ganancias en el último año.,The company has managed to increase its profits in the last year.,,,
suministros,supplies,Necesito comprar algunos suministros de oficina como papel y bolígrafos.,I need to buy some office supplies like paper and pens.,,,
nuevos proveedores,suppliers,La empresa está buscando nuevos proveedores de materia prima para reducir costos.,The company is looking for new raw material suppliers to reduce costs.,,,
nuevos clientes,clients/customers,El equipo de ventas está trabajando en una estrategia para captar nuevos clientes.,The sales team is working on a strategy to attract new customers.,,,
la publicidad,advertising,La publicidad es un factor clave para el éxito de una empresa en el mercado.,Advertising is a key factor for a company's success in the market.,,,
logística,logistics,El departamento de logística se encarga de la gestión de inventarios y entregas.,The logistics department is responsible for inventory management and deliveries.,,,
una alianza,alliance,La empresa ha establecido una alianza con otra compañía para expandir su mercado.,The company has established a partnership with another company to expand its market.,,,
una llamada,call,Necesito hacer una llamada telefónica importante para cerrar un trato de negocios.,I need to make an important phone call to close a business deal.,,,
el balance general,balance sheet,El balance general es un informe financiero que muestra la situación de una empresa.,The balance sheet is a financial report that shows the company's situation.,,,
una campaña,campaign,La empresa ha lanzado una campaña publicitaria en las redes sociales.,The company has launched an advertising campaign on social media.,,,
marketing,marketing,El departamento de marketing se encarga de promocionar los productos de la empresa.,The marketing department is responsible for promoting the company's products.,,,
la innovación,innovation,La innovación es un factor fundamental para mantenerse competitivo en el mercado.,Innovation is a fundamental factor to remain competitive in the market.,,,
teletrabajo,telecommuting,La empresa ha implementado un sistema de teletrabajo para sus empleados.,The company has implemented a telecommuting system for its employees.,,,
la negociación,negotiation,La negociación es una habilidad importante en el mundo de los negocios.,Negotiation is an important skill in the business world.,,,
nuevas sucursales,branches,La empresa está en proceso de expansión y ha abierto nuevas sucursales en el extranjero.,The company is in the process of expansion and has opened new branches overseas.,,,
el contrato,contract,El contrato establece las condiciones de trabajo y los derechos y obligaciones de las partes.,The contract establishes the working conditions and the rights and obligations of the parties.,,,
la contabilidad,accounting,La contabilidad es una actividad que permite llevar un control financiero de la empresa.,Accounting is an activity that allows financial control of the company.,,,
nuevos talentos,talent,La empresa está buscando nuevos talentos para integrar a su equipo de trabajo.,The company is looking for new talents to integrate into its workforce.,,,
la estrategia,strategy,La estrategia de precios es un factor importante para competir en el mercado.,The pricing strategy is an important factor to compete in the market.,,,
descuentos,discounts,El departamento de ventas está ofreciendo descuentos para incentivar las compras.,The sales department is offering discounts to incentivize purchases.,,,
tecnología,technology,El departamento de tecnología se encarga del mantenimiento y actualización de los equipos informáticos.,The technology department is responsible for the maintenance and updating of the computer equipment.,,,
medidas,measures,La empresa está implementando medidas para mejorar la eficiencia y reducir costos.,The company is implementing measures to improve efficiency and reduce costs.,,,
la factura,invoice,La factura es un documento que se emite para cobrar los productos o servicios vendidos.,The invoice is a document issued to charge for the products or services sold.,,,
capacitaciones,training,La empresa está ofreciendo capacitaciones para mejorar las habilidades de su personal.,The company is offering training to improve the skills of its personnel.,,,
el mercado,market,El mercado está en constante cambio y es necesario adaptarse a las nuevas tendencias.,"The market is constantly changing, and it is necessary to adapt to new trends.",,,
atención al cliente,customer service,El departamento de atención al cliente se encarga de resolver las dudas y quejas de los consumidores.,The customer service department is responsible for resolving doubts and complaints from consumers.,,,
una certificación,certification,La empresa ha obtenido una certificación de calidad que garantiza el buen desempeño de sus productos.,The company has obtained a quality certification that guarantees the good performance of its products.,,,
