palabra,word,frase,sentence,palabra_alterna
aunque,even though,Aunque está lloviendo hace buen día.,Even though its raining it is a good day.,
aunque,although,Es lista aunque un poco perezosa.,She is clever although a little lazy. ,
aunque,even though,Llevaba un abrigo de piel aunque era un día muy caluroso.,She wore a fur coat even though it was a very hot day.,
aunque,even if,Debes ir aunque no quieras,You must go even if you do not want to.,
aunque,although,Aunque la mayoría de los días está nublado.,Although the majority of the days are foggy.,
aunque,although,Aunque en el fondo él sabe la verdad.,Although deep down he knows the truth.,
aunque,although,"Aunque no llueva, iremos al parque.","Although it doesn't rain, we will go to the park.",
aunque,although,"No tengo dinero, aunque trabaje mucho.","I don't have money, although I work a lot.",
aunque,although,"Estoy cansado, aunque haya dormido bien.","I am tired, although I slept well.",
aunque,although,"Estaré en la fiesta, aunque no me guste mucho.","I will be at the party, although I don't like it much.",
aunque,although,"Aunque eres joven, debes ser responsable.","Although you are young, you must be responsible.",
aunque,although,"No voy a comprarlo, aunque sea barato.","I'm not going to buy it, although it's cheap.",
aunque,although,"Me gusta jugar al futbol, aunque no sea muy bueno.","I like playing soccer, although I'm not very good.",
aunque,although,"Aunque la situación sea difícil, siempre podemos encontrar una solución.","Although the situation is difficult, we can always find a solution.",
esa,that,Esa película fue la mejor que he visto en mucho tiempo.,That movie was the best I have seen in a long time.,
esa,that,Dame esa cuchara de ahí.,Give me that spoon there.,
esa,that,La respuesta a esa pregunta es casi siempre sí.,The answer to that question is almost always yes.,
esa,that,Y el símbolo Masónico es muy importante en esa película.,And the Masonic symbol is very important in that movie.,
esa,that,Esa carta es uno de los problemas.,That letter is one of the problems.,
esa,that,a esa hora de la mañana,at this hour of the morning…,
esa,that,Creo que esa es una idea loca.,I think that is a crazy idea.,
esa,that,Y esa es la verdad.,And that is the truth.,
esa,that,Que esa es la verdad.,That that is the truth.,
esa,that,a partir de esa fecha,from that date…,
esa,this,Desde luego no podemos seguir trabajando de esa manera.,Surely we cannot continue to work in this way.,
esa,that,A esa hora las oficinas y las tiendas estaban cerradas.,At that hour offices and shops were closed.,
eso,that,Eso fue lo que me dijo.,That is what he told me.,
eso,that,Eso es lo que yo pienso.,That is what I think.,
eso,that,¿Cómo es eso?,Why is that?,
eso,that,La situación es un poco más complejo que eso.,The situation is a little more complex than that.,
eso,that,Eso suena como la peor cosa en el mundo.,That sounds like the worst thing in the world.,
eso,that,Eso suena como una buena forma de hacer amigos.,That sounds like a good way to make friends.,
eso,that,Y eso es lo que te estaba diciendo.,And that is what I was telling you.,
eso,that,Eso no quiere decir que no me guste.,That does not mean that I do not like it.,
eso,that,A me no me importa eso.,To me that is not important.,
eso,that,¿Qué es eso que me estas diciendo?,What is that that you are telling me?,
eso,that,Eso esta muy borrato.,That is very cheap.,
eso,that,Eso es todo lo que sé.,That is all I know.,
hace,has been,Hace mucho tiempo que no nos vemos.,Long time no see. (It has been a long time since seeing you.),
hace,makes,Ese peinado te hace más vieja.,That hairstyle makes you look older.,
hace,makes,Se dice que el doctor hace hasta seis cifras.,They say the doctor makes at least six figures.,
hace,no direct translation,En invierno hace frío.,In winter it is cold.,
hace,no direct translation,La carretera hace una curva.,There is a bend in the road.,
hace,makes you look,Este espejo te hace gordo.,That mirror makes you look fat.,
hace,no direct translation,Hace el papel de la hija del rey.,She plays the part of the daughter of the king.,
hace,no direct translation,hace frío,it (the weather) is cold,
hace,no direct translation,hace sol,it is sunny,
hace,no direct translation,hace diez años,ten years ago,
hace,does,Hace y deshace las cosas a su antojo.,She does as she pleases.,
hace,no direct translation,El árbol no hace mucha sombra.,The tree is not very shady.,
hace,do,¿Qué hace tu padre?,What does your father do?,
hace,makes,Este hace 100.,This one makes 100.,
hace,does,No le hace.,It does not matter (never mind),
hace,no direct translation,Hace a todo.,He is good for anything.,
hace,no direct translation,¿Te hace que vayamos a tomar unas copas?,How about going for a drink?,
hace,no direct translation,Hace un mes que voy.,I have been going for a month.,
hace,no direct translation,¿Qué tiempo hace?,What is the weather like?,
hace,no direct translation,Hace sed.,I am thirsty.,
hace,no direct translation,Hace sueño.,I am sleepy.,
hace,no direct translation,Se hace tarde.,It is getting late.,
hace,no direct translation,Se me hace que nos están engañando.,It seems to me that we are being deceived.,
hace,ago,Nos mudamos a Chicago hace cinco meses por mi trabajo.,We moved to Chicago five months ago for my job.,
hace,ago,Pero eso fue hace 100 años.,But that was 100 years ago.,
hace,makes,El metro hace conexiones con autobuses.,The metro makes connections with buses.,
hace,makes,La belleza salvaje de este paisaje hace una profunda impresión.,The wild beauty of this landscape makes a deep impression.,
hace,do,¿Qué es lo que hace este vaso aquí?,What is this cup doing here? (What does this cup do here?),
hace,no direct translation,Desde hace mucho tiempo,Since a long time ago…,
hace,makes,El calor es lo que hace que el agua hierva.,The heat is what makes the water boil.,
otra,another,Pásame otra servilleta.,Pass me another napkin.,
otra,another,Esta es otra imagen de la misma región en Venus.,This is another image of the same region on Venus.,
otra,other,Ninguna otra máquina ofrece este nivel de precisión y versatilidad.,No other machine offers this level of precision and versatility.,
otra,no direct translation,No es otra cosa que pura maldad.,It is nothing but pure evil.,
otra,another,Ella practica esa canción una y otra vez para hacerla perfecta.,She practices that song over and over again to make it perfect.,
otra,another,Quiero otra taza de café.,I want another cup of coffee.,
otra,another,Hay otra opción disponible.,There is another option available.,
otra,another,¿Desea otra cosa además de esto?,Would you like anything else besides this?,
otra,another,No hay otra forma de hacerlo.,There is no other way to do it.,
otra,another,Ella siempre busca otra aventura.,She always seeks another adventure.,
otra,another,Esa es otra historia.,That's another story.,
otra,another,Necesito otra herramienta para completar el trabajo.,I need another tool to complete the job.,
otra,another,Hay otra persona interesada en el puesto.,There is another person interested in the position.,
otra,another,Esta es otra razón por la que lo hice.,This is another reason why I did it.,
gobierno,government,El gobierno actual fue elegido democráticamente.,The present government was democratically elected.,
gobierno,governing,El gobierno de un país no es tarea fácil.,The governing of a country is not easy.,
gobierno,administration,El gobierno del banco necesita la asistencia de un experto.,The administration of the bank needs the assistance of an expert.,
gobierno,government,El gobierno debería tomar medidas para reducir la pobreza.,The government should take measures to reduce poverty.,
gobierno,government,La corrupción es un problema persistente en muchos gobiernos.,Corruption is a persistent problem in many governments.,
gobierno,government,El gobierno está trabajando en un plan para modernizar la infraestructura.,The government is working on a plan to modernize infrastructure.,
gobierno,government,Muchos ciudadanos no confían en el gobierno debido a la falta de transparencia.,Many citizens don't trust the government due to a lack of transparency.,
gobierno,government,La democracia exige que el poder sea ejercido por el gobierno representativo.,Democracy requires that power be exercised by the representative government.,
gobierno,government,La política fiscal del gobierno tendrá un impacto significativo en la economía.,The government's fiscal policy will have a significant impact on the economy.,
gobierno,government,La relación entre el gobierno y los sindicatos es esencial para garantizar derechos laborales justos.,The relationship between the government and unions is essential to ensure fair labor rights.,
gobierno,government,El gobierno ha implementado medidas para proteger el medio ambiente.,The government has implemented measures to protect the environment.,
gobierno,government,La reforma del sistema de salud es una prioridad para el gobierno actual.,Health system reform is a priority for the current government.,
tan,so,Mi hijo estaba tan cansado cuando llegó que se durmió enseguida.,My son was so tired when he arrived that he fell asleep immediately.,
tan,no direct translation,¡Que película tan larga!,What a long film!,
tan,so,El patrón de este granito es tan único y sorprendente.,The pattern of this granite is so unique and amazing.,
tan,as,Un hombre es solo tan bueno como su palabra.,A man is only as good as his word.,
tan,just,"Si pudiera tan solo esperar unos minutos, seguro que el autobús llegará pronto.","If you could just wait a few minutes, I'm sure the bus will arrive soon.",
tan,so,"Si eres tan amable, por favor, pásame el salero.","If you're so kind, please pass me the salt.",
tan,so,Esta habitación es tan grande como un estadio.,This room is as big as a stadium.,
tan,so,Es tan fácil como respirar.,It's as easy as breathing.,
tan,so,Es tan difícil de creer como un sueño.,It's as hard to believe as a dream.,
tan,so,Él es tan alto como un edificio de 20 pisos.,He is as tall as a 20-story building.,
tan,so,Ella es tan hermosa como una rosa.,She is as beautiful as a rose.,
tan,so,Es tan importante como el aire que respiramos.,It's as important as the air we breathe.,
tan,so,Ella corre tan rápido como un leopardo.,She runs as fast as a leopard.,
tan,so,Este examen es tan difícil como escalar la montaña Everest.,This exam is as difficult as climbing Mount Everest.,
durante,during,¿Qué hiciste durante las vacaciones de invierno?,What did you do during winter break?,
durante,for,Mi compañía me ha dado una prima anual durante 10 años.,My company has given me an annual bonus for 10 years.,
durante,during,Este producto es muy útil e importante durante un viaje.,This product is very useful and important during a trip.,
durante,during,"Durante mi viaje a España, visité muchas ciudades hermosas.","During my trip to Spain, I visited many beautiful cities.",
durante,during,Estudiamos juntos durante la universidad.,We studied together during university.,
durante,during,"Durante la pandemia, aprendí a cocinar muchas nuevas recetas.","During the pandemic, I learned to cook many new recipes.",
durante,during,El parque estuvo cerrado durante dos semanas para reparaciones.,The park was closed for two weeks for repairs.,
durante,during,"Durante la noche, la ciudad es mucho más tranquila.","During the night, the city is much quieter.",
durante,during,El niño jugó con sus juguetes durante toda la tarde.,The child played with his toys all afternoon.,
durante,during,Me siento más productivo durante la mañana.,I feel more productive during the morning.,
durante,during,"Durante la conferencia, el orador habló sobre la importancia del medio ambiente.","During the conference, the speaker talked about the importance of the environment.",
durante,during,"Durante mi tiempo libre, me gusta leer libros y ver películas.","During my free time, I like to read books and watch movies.",
durante,during,El equipo de béisbol practicó durante toda la semana para el próximo partido.,The baseball team practiced all week for the next game.,
siempre,always,Siempre va de ropa azul.,She always wears blue.,
siempre,still,Siempre viven allí.,They still live there.,
siempre,no direct translation,"Vamos a ir a nuestro bar favorito esta noche, lo de siempre.","We're going to our favorite bar tonight, same old same old.",
siempre,always,Pero este método es muy costoso y no siempre eficaces.,But this method is very costly and not always effective.,
siempre,always,La respuesta a esa pregunta es casi siempre sí.,The answer to that question is almost always yes.,
siempre,always,La calidad de nuestros productos siempre es sido muy buena.,The quality of our products has always been very good.,
siempre,no direct translation,"Haré todo lo posible por terminar el proyecto a tiempo, siempre y cuando se me ayude con algunas tareas clave.","I will do my best to finish the project on time, as long as I am helped with some key tasks.",
siempre,always,"Mi llave siempre está en el mismo lugar, por lo que siempre sé dónde encontrarla.","My key is always in the same place, so I always know where to find it.",
siempre,always,Siempre tengo un libro en mi mochila.,I always have a book in my backpack.,
siempre,always,"No importa cuánto llueva, siempre me gusta salir a caminar.","No matter how much it rains, I always like to go for a walk.",
siempre,always,Me aseguro de siempre decir la verdad.,I make sure to always tell the truth.,
siempre,always,"En mi familia, siempre nos reunimos para cenar los fines de semana.","In my family, we always gather for dinner on weekends.",
siempre,always,"Aunque no tenga hambre, siempre tomo un desayuno completo.","Even if I'm not hungry, I always have a full breakfast.",
siempre,always,"Él siempre está dispuesto a ayudar a los demás, sin importar lo que sea.","He is always willing to help others, no matter what.",
día,day,Estoy en el restaurante en donde comimos el otro día.,I am at the restaurant where we ate the other day.,
día,day,Los que trabajan en el turno de noche tienen que dormir de día.,Night workers have to sleep during the day.,
día,day,Algún día te voy a ganar en billar.,One day I am going to beat you at pool.,
día,day,Cada día incluye ocho horas de formación con un descanso.,Each day includes eight hours of training with a rest.,
día,day,Hoy es un día hermoso.,Today is a beautiful day.,
día,day,Ayer fue un día lluvioso.,Yesterday was a rainy day.,
día,day,Mañana es un día muy importante.,Tomorrow is a very important day.,
