palabra,word,frase,sentence,palabra_alterna,,
los árboles,trees,Los árboles en el bosque son muy altos y frondosos.,The trees in the forest are very tall and leafy.,,,
el río,river,El río corre rápido por las rocas y forma cascadas hermosas.,The river runs fast over the rocks and forms beautiful waterfalls.,,,
el sendero,trail,El sendero del parque nacional es muy largo y lleno de curvas.,The trail in the national park is very long and full of curves.,,,
la montaña,mountain,La vista desde la cima de la montaña es impresionante.,The view from the top of the mountain is impressive.,,,
el lago,lake,El lago en el valle es tranquilo y tiene agua cristalina.,The lake in the valley is calm and has crystal clear water.,,,
la costa,coast,La costa tiene hermosas playas y acantilados.,The coast has beautiful beaches and cliffs.,,,
los pájaros,birds,Los pájaros cantan en los árboles al amanecer.,The birds sing in the trees at dawn.,,,
el sol,sun,El sol se pone detrás de las montañas al atardecer.,The sun sets behind the mountains at sunset.,,,
la nieve,snow,La nieve cubre las montañas en invierno.,Snow covers the mountains in winter.,,,
el viento,wind,El viento sopla fuerte en la cima de la colina.,The wind blows strong on top of the hill.,,,
los bosques,forests,Los bosques tropicales tienen una gran variedad de plantas y animales.,Tropical forests have a great variety of plants and animals.,,,
las cuevas,caves,Las cuevas son un lugar interesante para explorar la naturaleza.,Caves are an interesting place to explore nature.,,,
los desiertos,deserts,Los desiertos tienen un paisaje árido y cálido durante el día.,Deserts have an arid and warm landscape during the day.,,,
el arcoíris,rainbow,El arcoíris se forma después de una tormenta en el cielo.,The rainbow forms after a storm in the sky.,,,
el cañón,canyon,El cañón es un lugar impresionante para hacer senderismo.,The canyon is an impressive place to go hiking.,,,
la selva,jungle,La selva tropical es un lugar exuberante y húmedo.,The rainforest is a lush and humid place.,,,
la cordillera,mountain range,La cordillera tiene picos nevados durante todo el año.,The mountain range has snowy peaks all year round.,,,
los animales,animals,"Los animales del bosque incluyen osos, ciervos y zorros.","The animals of the forest include bears, deer, and foxes.",,,
la playa,beach,La playa tiene olas fuertes para surfear.,The beach has strong waves for surfing.,,,
el prado,meadow,El prado es un lugar hermoso para hacer un picnic.,The meadow is a beautiful place for a picnic.,,,
el glaciar,glacier,El glaciar se mueve lentamente por la montaña.,The glacier moves slowly down the mountain.,,,
la catarata,waterfall,La catarata es una caída de agua impresionante.,The waterfall is an impressive water drop.,,,
un ecosistema,ecosystem,El bosque es un ecosistema importante para el planeta.,The forest is an important ecosystem for the planet.,,,
la cima,peak,La cima de la montaña es difícil de alcanzar pero vale la pena.,The top of the mountain is difficult to reach but worth it.,,,
el agua,water,El agua del río es fría y clara.,The water in the river is cold and clear.,,,
las aves,birds,Las aves migratorias vuelan sobre las montañas en otoño.,Migratory birds fly over the mountains in autumn.,,,
el valle,valley,El valle tiene un clima más fresco que la costa.,The valley has a cooler climate than the coast.,,,
la niebla,fog,La niebla cubre el bosque en las mañanas.,Fog covers the forest in the mornings.,,,
muchos peces,fish,El río tiene muchos peces que se pueden pescar.,The river has many fish that can be caught.,,,
el paisaje,landscape,El paisaje del desierto es diferente de cualquier otro lugar.,The desert landscape is different from any other place.,,,
las lluvias,rains,Las lluvias torrenciales pueden causar inundaciones en los ríos.,Torrential rains can cause flooding in the rivers.,,,
las praderas,prairies,Las praderas tienen una gran variedad de flores y hierba.,Prairies have a great variety of flowers and grass.,,,
estación,season,El paisaje de la montaña cambia con cada estación.,The mountain landscape changes with every season.,,,
las rocas,rocks,Las rocas en la playa son un lugar interesante para buscar conchas.,The rocks on the beach are an interesting place to search for shells.,,,
el bosque,forest,El bosque está lleno de sonidos de la naturaleza.,The forest is full of sounds of nature.,,,
la cascada,waterfall,La cascada forma una piscina natural en la base.,The waterfall forms a natural pool at the base.,,,
las hojas,leaves,Las hojas de los árboles cambian de color en otoño.,The leaves of the trees change color in autumn.,,,
los arrecifes,coral reefs,Los arrecifes de coral son un lugar increíble para bucear.,Coral reefs are an incredible place to scuba dive.,,,
el campo,countryside,El campo es un lugar tranquilo para escapar de la ciudad.,The countryside is a quiet place to escape the city.,,,
la erosión,erosion,El cañón se formó hace millones de años por la erosión del agua.,The canyon was formed millions of years ago by water erosion.,,,
