palabra,word,frase,sentence,palabra_alterna,,
yo,I,Yo estudio español todos los días para mejorar mi comunicación.,I study Spanish every day to improve my communication.,,,
yo,I,Yo prefiero el café colombiano porque tiene un sabor más fuerte.,I prefer Colombian coffee because it has a stronger flavor.,,,
yo,I,"A mí me encanta viajar y conocer nuevas culturas, yo he visitado muchos países.","I love to travel and experience new cultures, I have visited many countries.",,,
yo,I,Yo siempre llevo mi teléfono móvil en el bolsillo porque no me gusta dejarlo en casa.,I always carry my mobile phone in my pocket because I don't like to leave it at home.,,,
yo,I,"Yo quiero comprar un coche nuevo el año que viene, pero primero tengo que ahorrar suficiente dinero.","I want to buy a new car next year, but first I have to save enough money.",,,
tú,you,"Tú eres mi mejor amigo, siempre me haces reír.","You are my best friend, you always make me laugh.",,,
tú,you,¿Tú quieres ir al cine conmigo esta noche?,Do you want to go to the movies with me tonight?,,,
tú,you,"Tú tienes una voz muy bonita, deberías cantar más seguido.","You have a very nice voice, you should sing more often.",,,
tú,you,Tú y yo podemos hacer juntos el proyecto para la clase de matemáticas.,You and I can work on the math project together.,,,
tú,you,¿Tú sabes si la biblioteca abre los domingos?,Do you know if the library is open on Sundays?,,,
él,he,"Él es un excelente cocinero, siempre hace platos deliciosos.","He is an excellent cook, he always makes delicious dishes.",,,
él,he,Él va al gimnasio todas las mañanas para hacer ejercicio.,He goes to the gym every morning to work out.,,,
él,he,"A él le gusta la música clásica, prefiere escucharla en lugar de otros géneros.","He likes classical music, he prefers to listen to it instead of other genres.",,,
él,he,Él tiene dos hermanos mayores y una hermana menor.,He has two older brothers and a younger sister.,,,
él,he,"Él es un gran fanático de los deportes, especialmente del fútbol.","He is a big sports fan, especially of soccer.",,,
ella,she,"Ella es una mujer muy inteligente y trabajadora, siempre se esfuerza al máximo.","She is a very smart and hardworking woman, she always gives her best effort.",,,
ella,she,Ella va a la universidad para estudiar ingeniería civil.,She goes to college to study civil engineering.,,,
ella,she,"A ella le encanta bailar salsa, va a clases todos los sábados.","She loves to dance salsa, she goes to classes every Saturday.",,,
ella,she,"Ella tiene dos gatos y un perro, todos son muy juguetones.","She has two cats and a dog, they are all very playful.",,,
ella,she,Ella quiere viajar por todo el mundo y conocer nuevas culturas.,She wants to travel around the world and experience new cultures.,,,
usted,you,Usted necesita ayuda con su equipaje?,Do you need help with your luggage? (formal),,,
usted,you,Usted es muy amable por ofrecerme su asiento.,You are very kind to offer me your seat. (formal),,,
usted,you,"¿Usted me puede decir la hora, por favor?","Can you tell me the time, please? (formal)",,,
usted,you,¿Qué planes tiene usted para el fin de semana?,What plans do you have for the weekend? (formal),,,
nosotros,we,Nosotros vamos a la playa cada verano para disfrutar del sol y del mar.,We go to the beach every summer to enjoy the sun and the sea. (masculine or mixed group),,,
nosotros,we,Nosotros estamos muy emocionados por el concierto de esta noche.,We are very excited about tonight's concert. (masculine or mixed group),,,
nosotros,we,Nosotros queremos visitar todos los museos en esta ciudad.,We want to visit all the museums in this city. (masculine or mixed group),,,
nosotros,we,Nosotros somos los mejores amigos desde la infancia.,We have been best friends since childhood. (masculine or mixed group),,,
nosotros,we,Nosotros nunca olvidaremos ese viaje a Europa.,We will never forget that trip to Europe. (masculine or mixed group),,,
nosotras,we,Nosotras estudiamos juntas para el examen de historia.,We study together for the history exam. (feminine group),,,
nosotras,we,Nosotras siempre nos apoyamos la una a la otra en los momentos difíciles.,We always support each other in difficult times. (feminine group),,,
nosotras,we,Nosotras decidimos hacer una cena especial para celebrar nuestro aniversario.,We decided to have a special dinner to celebrate our anniversary. (feminine group),,,
nosotras,we,Nosotras queremos viajar por todo el mundo juntas.,We want to travel around the world together. (feminine group),,,
nosotras,we,Nosotras tenemos gustos similares en cuanto a la música y los libros.,We have similar tastes in music and books. (feminine group),,,
vosotros,you all,Vosotros sois los mejores estudiantes de la clase.,You all are the best students in the class. (masculine or mixed group),Ustedes,,
vosotros,you all,Vosotros podéis hablar inglés y francés con fluidez.,You all can speak English and French fluently. (masculine or mixed group),Ustedes,,
vosotros,you all,¿Vosotros queréis ir al cine conmigo esta noche?,Do you all want to go to the movies with me tonight? (masculine or mixed group),Ustedes,,
vosotros,you all,"Vosotros habéis trabajado duro todo el año, ¡ahora es tiempo de relajarse!","You all have worked hard all year, now it's time to relax! (masculine or mixed group)",Ustedes,,
vosotros,you all,¿Qué planes tenéis vosotros para el fin de semana?,What plans do you all have for the weekend? (masculine or mixed group),Ustedes,,
