palabra,word,frase,sentence,palabra_alterna,,
estoy,I am,Estoy sentado.,I am sitting down.,yo estoy,,
está,is,El libro está en la mesa.,The book is on the table.,,,
estás,are,Tú estás caminando.,You (singular) are walking.,tú estás,,
está,it is,Está lloviendo hoy.,It is raining today.,,,
estoy,I am,Estoy feliz,I am happy.,yo estoy,,
están,are,Ellos están en el jardín.,They are in the garden.,,,
está,is,El gato está dormido en el sol.,The cat is sleeping in the sun.,,,
están,are,En este momento mis amigas están en la tienda.,In this moment my (feminine) friends are in the store.,,,
estás,are,¿Tú estás listo para salir ahora?,Are you (singular) ready to leave now?,,,
estamos,are,Nosotros estamos contentos.,We are content.,,,
estar,to be,Hoy va a estar el dia lluvioso.,Today is going to be a rainy day.,ser,,
estoy,no direct translation,Estoy feliz de tenerte a mi lado.,I'm happy to have you by my side.,,,
estoy,no direct translation,Estoy muy contento de haber aprendido este nuevo vocabulario.,I'm very happy to have learned this new vocabulary.,,,
estoy,no direct translation,Estoy contenta con el resultado.,I am happy with the result.,,,
estoy,no direct translation,Estoy contento de que la situación haya mejorado.,I am glad that the situation has improved.,,,
estoy,no direct translation,Estoy usando esta palabra para practicar ortografía.,I am using this word to practice spelling.,,,
estoy,no direct translation,Estoy muy emocionado por la oportunidad que se me ha presentado.,I am very excited for the opportunity that has been presented to me.,,,
estoy,no direct translation,Estoy segura de que tendré éxito.,I'm sure I'll be successful.,,,
estoy,no direct translation,Estoy contento de estar aquí.,I'm happy to be here.,,,
estoy,no direct translation,Estoy deseando tener un día libre para descansar.,I'm looking forward to having a day off to rest.,,,
estoy,no direct translation,Estoy feliz de poder compartir esta experiencia con mis amigos.,I'm happy to be able to share this experience with my friends.,,,
estoy,no direct translation,Estoy listo para comenzar.,I'm ready to start.,,,
está,no direct translation,Esta tarea está pendiente de ser completada.,This task is pending to be completed.,,,
está,no direct translation,El tiempo está hermoso hoy.,The weather is beautiful today.,,,
está,no direct translation,El partido está a punto de comenzar.,The match is about to begin.,,,
está,no direct translation,La ciudad está llena de vida y energía.,The city is full of life and energy.,,,
está,no direct translation,La tienda está cerrando en 10 minutos.,The store is closing in 10 minutes.,,,
está,no direct translation,El libro está en la estantería de arriba.,The book is on the shelf above.,,,
está,no direct translation,Mi amigo está enfermo en casa hoy.,My friend is sick at home today.,,,
