palabra,word,frase,sentence,palabra_alterna,,
la taza,Coffee cup,La taza de café está sobre la mesa de la cocina.,The coffee cup is on the kitchen table.,,,
la cama,Bed,La cama es muy cómoda y suave.,The bed is very comfortable and soft.,,,
el armario,Wardrobe,El armario del dormitorio tiene mucho espacio para la ropa.,The bedroom closet has a lot of space for clothes.,,,
la alfombra,Carpet,La alfombra de la sala de estar es muy suave y cálida.,The living room carpet is very soft and warm.,,,
el sofá,Sofa,El sofá del salón es muy cómodo para ver películas.,The living room sofa is very comfortable for watching movies.,,,
el espejo,Mirror,El espejo del baño es muy grande y me gusta cómo se ve mi reflejo.,"The bathroom mirror is very large, and I like how my reflection looks.",,,
la lámpara,Bedside lamp,La lámpara de la mesa de noche es muy útil para leer en la cama.,The nightstand lamp is very useful for reading in bed.,,,
la estantería,Bookshelf,La estantería de la biblioteca está llena de libros interesantes.,The library bookshelf is full of interesting books.,,,
la cortina,Bedroom curtain,La cortina de la ventana del dormitorio es de color rojo y blanco.,The bedroom window curtain is red and white.,,,
la puerta,Front door,La puerta de entrada de la casa tiene una cerradura muy segura.,The house's front door has a very secure lock.,,,
la televisión,Television,La televisión del salón es muy grande y tiene una buena calidad de imagen.,The living room television is very large and has good picture quality.,,,
el ventilador,Ceiling fan,El ventilador del techo es muy útil para refrescar la habitación en verano.,The ceiling fan is very useful for cooling the room in summer.,,,
la mesa,Dining table,La mesa del comedor es muy grande y cómoda para comer en familia.,The dining table is very large and comfortable for family meals.,,,
la silla,Office chair,La silla de la oficina es muy ergonómica y me ayuda a mantener una buena postura.,The office chair is very ergonomic and helps me maintain good posture.,,,
el horno,Kitchen oven,El horno de la cocina es muy útil para cocinar platos deliciosos.,The kitchen oven is very useful for cooking delicious dishes.,,,
el microondas,Microwave,El microondas es muy práctico para calentar la comida rápidamente.,The microwave is very practical for quickly heating food.,,,
la lavadora,Washer and dryer,La lavadora y secadora de la ropa son muy útiles para mantener la ropa limpia.,The washing machine and dryer are very useful for keeping clothes clean.,,,
el fregadero,Kitchen sink,El fregadero de la cocina tiene un grifo que proporciona agua caliente y fría.,The kitchen sink has a faucet that provides hot and cold water.,,,
el lavavajillas,Dishwasher,El lavavajillas es muy útil para lavar los platos de manera eficiente.,The dishwasher is very useful for efficiently washing dishes.,,,
el mueble,Bathroom cabinet,El mueble del baño tiene mucho espacio de almacenamiento para productos de higiene personal.,The bathroom cabinet has a lot of storage space for personal hygiene products.,,,
el escurridor,Dish rack,El escurridor de platos es muy útil para dejar secar los platos y cubiertos.,The dish drainer is very useful for letting dishes and utensils dry.,,,
el reloj,Wall clock,El reloj de pared de la sala de estar marca la hora con precisión.,The living room wall clock accurately tells time.,,,
el tocadiscos,Turntable,El tocadiscos de la sala de música es muy útil para escuchar música en vinilo.,The music room record player is very useful for listening to vinyl music.,,,
la caja,Toolbox,La caja de herramientas del garaje tiene todas las herramientas necesarias para reparaciones caseras.,The garage toolbox has all the necessary tools for home repairs.,,,
el termómetro,Garden thermometer,El termómetro del jardín me permite saber la temperatura exterior.,The garden thermometer lets me know the outdoor temperature.,,,
el sillón,Terrace armchair,El sillón de la terraza es muy cómodo para sentarse a leer un libro.,The terrace armchair is very comfortable for sitting and reading a book.,,,
el aspirador,Vacuum cleaner,El aspirador es muy útil para mantener la casa limpia y libre de polvo.,The vacuum cleaner is very useful for keeping the house clean and dust-free.,,,
el escritorio,Study desk,El escritorio del estudio es muy amplio y cómodo para trabajar.,The study desk is very spacious and comfortable for working.,,,
el teléfono,Landline phone,El teléfono fijo está en la mesa del recibidor para recibir llamadas importantes.,The landline phone is on the entryway table to receive important calls.,,,
el escurridor,Shower rack,El escurridor de la ducha es muy útil para dejar secar las toallas y ropa de baño.,The shower squeegee is very useful for letting towels and bathrobes dry.,,,
la cortina,Shower curtain,La cortina de la ducha es muy útil para mantener la privacidad en el baño.,The shower curtain is very useful for maintaining privacy in the bathroom.,,,
la toalla,Hand towel,La toalla de mano está colgada en el soporte del baño para secarse las manos.,The hand towel is hung on the bathroom holder for drying hands.,,,
el cepillo,Toothbrush,El cepillo de dientes está en el vaso del baño para mantener la higiene bucal.,The toothbrush is in the bathroom cup to maintain oral hygiene.,,,
el colgador,Coat hanger,El colgador de la puerta es muy útil para colgar la chaqueta al llegar a casa.,The door hanger is very useful for hanging the jacket when arriving home.,,,
