palabra,word,frase,sentence,palabra_alterna,,
fui,I was,Ayer fui muy feliz con mi familia.,"Yesterday, I was very happy with my family.",,,
fui,I was,Fui un estudiante excelente en la escuela primaria.,I was an excellent student in elementary school.,,,
fui,I was,Hace diez años fui un atleta muy bueno.,"Ten years ago, I was a very good athlete.",,,
fui,I was,Fui el primer miembro de mi familia en graduarme de la universidad.,I was the first member of my family to graduate from college.,,,
fui,I was,"Cuando era joven, fui una persona muy impaciente.","When I was young, I was a very impatient person.",,,
fui,I went,Ayer fui al cine con mis amigos y vimos una película de terror.,"Yesterday, I went to the movies with my friends and we watched a horror movie.",,,
fui,I went,El año pasado fui de viaje a Europa y visité varios países.,"Last year, I traveled to Europe and visited several countries.",,,
fui,I went,Hace unos días fui al médico y me recetó algunos medicamentos.,"A few days ago, I went to the doctor and he prescribed some medications to me.",,,
fui,I went,"Cuando era joven, fui a muchas fiestas y me divertí mucho con mis amigos.","When I was young, I went to many parties and had a lot of fun with my friends.",,,
fui,I went,El año pasado fui a Hawai con mi amiga Reena.,Last year I went to Hawaii with my friend Reena.,,,
fuiste,were you,¿Fuiste tú quien me llamó ayer por la noche?,Were you the one who called me last night?,,,
fuiste,you were,"Cuando eras joven, fuiste un gran jugador de baloncesto.","When you were young, you were a great basketball player.",,,
fuiste,you were,"En el concierto de anoche, fuiste la estrella del espectáculo.","Last night at the concert, you were the star of the show.",,,
fuiste,you were,Fuiste muy valiente al defender tus ideas en esa reunión.,You (singular) were very brave in defending your ideas at that meeting.,,,
fuiste,you went,"Me dijiste que fuiste a la universidad en España, ¿verdad?","You told me you (singular) went to university in Spain, right?",,,
fuiste,did you go,¿Fuiste al cine el fin de semana pasado?,Did you (singular) go to the cinema last weekend?,,,
fuiste,you went,"Cuando fuiste a Nueva York, ¿visitaste la Estatua de la Libertad?","When you (singular) went to New York, did you visit the Statue of Liberty?",,,
fuiste,you were,Fuiste muy afortunado de conocer a esa persona en el evento.,You (singular) were very lucky to meet that person at the event.,,,
fuiste,did you go,¿Por qué no fuiste a la fiesta de cumpleaños de Juan?,Why didn't you (singular) go to Juan's birthday party?,,,
fuiste,you went,"Cuando fuiste al supermercado, ¿compraste todo lo que necesitábamos?","When you (singular) went to the supermarket, did you buy everything we needed?",,,
fue,was,Ayer fue un día muy soleado.,Yesterday was a very sunny day.,,,
fue,was,Mi hermano fue el primer estudiante en graduarse de la universidad.,My brother was the first student to graduate from college.,,,
fue,was,"El año pasado, el equipo de fútbol de mi ciudad fue campeón nacional.","Last year, my city's soccer team was the national champion.",,,
fue,was,La película que vi anoche fue muy emocionante.,The movie I watched last night was very exciting.,,,
fue,was,"Cuando era joven, mi abuelo fue un soldado en la Segunda Guerra Mundial.","When he was young, my grandfather was a soldier in World War II.",,,
