palabra,word,frase,sentence,palabra_alterna,,
estuve,I was,Ayer estuve en el cine viendo una película de terror.,Yesterday I was at the movie theater watching a horror movie.,,,
estuve,I was,La semana pasada estuve enfermo y tuve que quedarme en casa todo el tiempo.,Last week I was sick and had to stay at home all the time.,,,
estuve,I was,El mes pasado estuve de vacaciones en la playa y me encantó el sol y la arena.,Last month I was on vacation at the beach and I loved the sun and the sand.,,,
estuve,I was,El año pasado estuve en una conferencia en Nueva York y conocí a muchas personas interesantes.,Last year I was at a conference in New York and I met many interesting people.,,,
estuve,I was,Hace unos minutos estuve hablando con mi jefe por teléfono y acordamos una reunión para la próxima semana.,A few minutes ago I was talking to my boss on the phone and we agreed on a meeting for next week.,,,
estuviste,were you,¿Estuviste en la reunión ayer? No te vi.,Were you at the meeting yesterday? I didn't see you.,,,
estuviste,were you,¿Estuviste en la fiesta de cumpleaños de Juan? Fue genial.,Were you at Juan's birthday party? It was great.,,,
estuviste,you were,"Ayer estuviste muy callado, ¿te pasó algo?","You were very quiet yesterday, did something happen?",,,
estuviste,you were,"No estuviste muy acertado con tu comentario, ofendiste a algunos.","You weren't very tactful with your comment, you offended some people.",,,
estuviste,you were,Recuerdo que estuviste muy emocionado cuando te dijeron que ganaste el premio.,I remember you were very excited when they told you that you won the prize.,,,
estuvo,it was,Ayer estuvo lloviendo todo el día y no pude salir de casa.,Yesterday it was raining all day and I couldn't leave the house.,,,
estuvo,(he) was,Juan estuvo enfermo la semana pasada y no pudo ir al trabajo.,Juan was sick last week and couldn't go to work.,,,
estuvo,(it) was,"El concierto de anoche estuvo genial, la banda tocó todas mis canciones favoritas.","The concert last night was great, the band played all my favorite songs.",,,
estuvo,(it) was,"El partido de fútbol estuvo muy emocionante, el resultado fue 3-2 a favor del equipo local.","The soccer game was very exciting, the result was 3-2 in favor of the local team.",,,
estuvo,was,Y el amor de su vida siempre estuvo en Phoenix.,And the love of her life was always in Phoenix.,,,
estuvimos,we were,Ayer estuvimos en el parque jugando fútbol con nuestros amigos.,Yesterday we were at the park playing soccer with our friends.,,,
estuvimos,we were,"Durante las vacaciones de verano, estuvimos en la playa todos los días.","During summer vacation, we were at the beach every day.",,,
estuvimos,we were,La semana pasada estuvimos en Nueva York y visitamos todos los lugares turísticos.,Last week we were in New York and visited all the tourist spots.,,,
estuvimos,we were,"El año pasado, mi familia y yo estuvimos en México para celebrar las fiestas navideñas.","Last year, my family and I were in Mexico to celebrate the holidays.",,,
estuvimos,we were,"La última vez que estuvimos juntos, tuvimos una gran cena y disfrutamos de una agradable conversación.","The last time we were together, we had a great dinner and enjoyed a pleasant conversation.",,,
estuvisteis,you all were,¿Dónde estuvisteis durante el fin de semana?,Where were you all during the weekend?,,,
estuvisteis,you all were,Estuvisteis geniales en el concierto de anoche.,You all were great at last night's concert.,,,
estuvisteis,you all were,¿Cuánto tiempo estuvisteis en la playa?,How long were you all at the beach?,,,
estuvisteis,you all were,"Me dijeron que estuvisteis en París, ¿cómo fue el viaje?","They told me you all were in Paris, how was the trip?",,,
estuvisteis,you all were,"Cuando estuvisteis en mi casa, dejasteis olvidado vuestro libro.","When you all were at my house, you left your book behind.",,,
estuvieron,(they) were,"Ayer, mis amigos estuvieron en mi casa para celebrar mi cumpleaños.","Yesterday, my friends were at my house to celebrate my birthday.",,,
estuvieron,(they) were,"Durante la última reunión, los directivos estuvieron discutiendo sobre el futuro de la empresa.","During the last meeting, the executives were discussing the future of the company.",,,
estuvieron,(they) were,"Hace unos meses, mis padres estuvieron de viaje por Europa y visitaron varios países.","A few months ago, my parents were traveling around Europe and visited several countries.",,,
estuvieron,(they) were,"Anoche, los vecinos estuvieron haciendo mucho ruido hasta tarde y no pude dormir bien.","Last night, the neighbors were making a lot of noise until late and I couldn't sleep well.",,,
